,dataset,condition,label,evoked,subject,evoked_path
82,CVSA-ERP,split ($d=1$),non-target,"<Evoked | 'non-target' (average, N=440), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A04,evokeds/CVSA-ERP/A04_split ($d=1$)_non-target.fif
83,CVSA-ERP,split ($d=1$),target,"<Evoked | 'target' (average, N=110), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A04,evokeds/CVSA-ERP/A04_split ($d=1$)_target.fif
84,CVSA-ERP,split ($d=1$),distractor,"<Evoked | 'non-target' (average, N=110), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A04,evokeds/CVSA-ERP/A04_split ($d=1$)_distractor.fif
85,CVSA-ERP,split ($d=2$),non-target,"<Evoked | 'non-target' (average, N=408), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A04,evokeds/CVSA-ERP/A04_split ($d=2$)_non-target.fif
86,CVSA-ERP,split ($d=2$),target,"<Evoked | 'target' (average, N=102), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A04,evokeds/CVSA-ERP/A04_split ($d=2$)_target.fif
87,CVSA-ERP,split ($d=2$),distractor,"<Evoked | 'non-target' (average, N=102), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A04,evokeds/CVSA-ERP/A04_split ($d=2$)_distractor.fif
88,CVSA-ERP,split ($d=3$),target,"<Evoked | 'target' (average, N=54), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A04,evokeds/CVSA-ERP/A04_split ($d=3$)_target.fif
89,CVSA-ERP,split ($d=3$),non-target,"<Evoked | 'non-target' (average, N=220), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A04,evokeds/CVSA-ERP/A04_split ($d=3$)_non-target.fif
90,CVSA-ERP,split ($d=3$),distractor,"<Evoked | 'non-target' (average, N=54), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A04,evokeds/CVSA-ERP/A04_split ($d=3$)_distractor.fif
91,CVSA-ERP,overt,non-target,"<Evoked | 'non-target' (average, N=299), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A19,evokeds/CVSA-ERP/A19_overt_non-target.fif
92,CVSA-ERP,overt,target,"<Evoked | 'target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A19,evokeds/CVSA-ERP/A19_overt_target.fif
