,accuracy,n_trials,subject,condition,model,fold
0,0.9166666666666666,7,A09,G,tLDA,0
0,0.8333333333333334,8,A09,G,tLDA,0
0,0.3333333333333333,1,A09,G,tLDA,1
0,0.4166666666666667,2,A09,G,tLDA,1
0,0.75,3,A09,G,tLDA,1
0,0.75,4,A09,G,tLDA,1
0,0.9166666666666666,5,A09,G,tLDA,1
0,1.0,6,A09,G,tLDA,1
0,0.9166666666666666,7,A09,G,tLDA,1
0,0.9166666666666666,8,A09,G,tLDA,1
0,0.16666666666666666,1,A09,G,tLDA,2
0,0.4166666666666667,2,A09,G,tLDA,2
0,0.5,3,A09,G,tLDA,2
0,0.5833333333333334,4,A09,G,tLDA,2
0,0.75,5,A09,G,tLDA,2
0,0.75,6,A09,G,tLDA,2
0,0.9166666666666666,7,A09,G,tLDA,2
0,0.9166666666666666,8,A09,G,tLDA,2
0,0.9166666666666666,1,A10,S,CBLE,0
0,0.9166666666666666,2,A10,S,CBLE,0
0,1.0,3,A10,S,CBLE,0
0,1.0,4,A10,S,CBLE,0
0,1.0,5,A10,S,CBLE,0
0,1.0,6,A10,S,CBLE,0
0,1.0,7,A10,S,CBLE,0
0,1.0,8,A10,S,CBLE,0
0,0.9166666666666666,1,A10,S,CBLE,1
0,0.9166666666666666,2,A10,S,CBLE,1
0,1.0,3,A10,S,CBLE,1
0,1.0,4,A10,S,CBLE,1
0,1.0,5,A10,S,CBLE,1
0,1.0,6,A10,S,CBLE,1
0,1.0,7,A10,S,CBLE,1
0,1.0,8,A10,S,CBLE,1
0,0.8333333333333334,1,A10,S,CBLE,2
0,1.0,2,A10,S,CBLE,2
0,1.0,3,A10,S,CBLE,2
0,1.0,4,A10,S,CBLE,2
0,1.0,5,A10,S,CBLE,2
0,1.0,6,A10,S,CBLE,2
0,1.0,7,A10,S,CBLE,2
0,1.0,8,A10,S,CBLE,2
0,0.8333333333333334,1,A10,S,wCBLE,0
0,0.9166666666666666,2,A10,S,wCBLE,0
0,1.0,3,A10,S,wCBLE,0
