,time,actual,count,condition,subject
443,2293.0883708000183,10,9,split/2,A04
444,2334.1524839401245,13,13,split/1,A04
445,2371.4298458099365,10,10,overt,A04
446,2409.9838049411774,11,11,split/1,A04
447,2454.383351802826,14,12,split/2,A04
448,2493.587703943253,13,12,covert,A04
449,2651.3149127960205,11,11,split/1,A04
450,2715.416263818741,14,13,split/3,A04
451,2753.203512907028,13,13,covert,A04
452,2790.856503009796,11,12,split/2,A04
453,2832.262281894684,10,9,split/1,A04
454,2873.0947258472443,14,14,overt,A04
455,2922.2284309864044,15,15,overt,A04
456,2972.563189983368,10,9,split/2,A04
457,3012.135677814484,10,10,split/2,A04
458,3052.2734549045563,15,15,split/2,A04
459,3096.3973870277405,15,14,split/1,A04
460,3135.134740829468,14,14,covert,A04
461,3173.0212128162384,10,10,covert,A04
462,511.2112170998007,14,13,split/2,A15
463,554.5586558999494,14,13,split/3,A15
464,595.3649276001379,12,11,split/3,A15
465,635.2355001000687,15,13,split/2,A15
466,675.772031399887,10,10,split/1,A15
467,713.8263178002089,15,15,split/1,A15
468,752.4989625997841,13,13,split/1,A15
469,792.7820541998371,14,13,overt,A15
470,831.7150651998818,15,14,covert,A15
471,869.9029315998778,11,8,split/3,A15
472,907.6187662999146,15,15,overt,A15
473,946.9804356000386,13,13,covert,A15
474,982.84090499999,10,9,covert,A15
475,1018.7270359001122,13,13,split/2,A15
476,1061.530990399886,15,14,split/3,A15
477,1112.1735267001204,10,9,split/3,A15
478,1154.5976001997478,11,9,split/2,A15
479,1192.6485596997663,15,14,split/1,A15
480,1230.9761580000632,12,11,split/1,A15
481,1272.1864702999592,14,14,split/2,A15
482,1316.7998962001875,13,13,overt,A15
483,1354.816667499952,12,12,split/1,A15
484,1391.7839596001431,10,10,split/2,A15
485,1429.0180358998475,15,14,split/1,A15
486,1465.7939391997645,13,12,split/1,A15
487,1502.879919399973,12,12,split/2,A15
488,1543.0010866001248,15,15,split/1,A15
489,1589.1942652999423,15,14,split/2,A15
490,1629.6114579001442,13,13,split/2,A15
491,1720.8831452000886,15,15,covert,A15
492,1760.5601584999822,15,14,split/1,A15
493,1798.1561965001747,12,11,covert,A15
494,1841.674307399895,13,13,split/2,A15
495,1881.0611417000184,13,11,overt,A15
496,1924.397597400006,10,10,split/1,A15
497,1963.36318450002,11,11,covert,A15
498,2002.051023399923,14,14,split/2,A15
499,2042.775419100188,10,10,split/1,A15
500,2080.749296700116,14,14,split/3,A15
501,2116.79068010021,13,12,overt,A15
502,2152.2874485999346,10,9,overt,A15
503,2188.7851979001425,13,12,split/2,A15
