,index,block,rank,F_tr,F_rt,log_loss,mse,nmse,dataset,subject,session
64,4,5,"(16, 4, 16)",0.0002807877826790522,0.35133059667212463,0.0020121132050684564,0.36424026703464835,0.3642402670346485,BNCI2014-001,4,0train
65,5,6,"(4, 4, 4)",0.0002809607723565024,0.36585051598222607,0.0041914256960384685,0.35661967994425686,0.35661967994425703,BNCI2014-001,4,0train
66,6,7,"(1, 1, 1)",0.00028113918156876433,0.3666166909661858,0.0018605464835164973,0.35570685885170034,0.3557068588517005,BNCI2014-001,4,0train
67,7,8,"(1, 1, 1)",0.00028149751137440535,0.36793574989872496,0.0019220404732710036,0.3544967706678378,0.35449677066783797,BNCI2014-001,4,0train
68,8,9,"(1, 1, 1)",0.00028177334914487065,0.36902749837662135,0.001705814388822164,0.353593170680659,0.35359317068065915,BNCI2014-001,4,0train
69,9,10,"(1, 1, 1)",0.00028212110885210445,0.3700477600317771,0.002266287882931919,0.35314084003387164,0.3531408400338718,BNCI2014-001,4,0train
70,0,1,"(1, 1, 1)",0.017680886370763163,0.023247091339336758,0.9031374595559222,0.9499043542386382,0.9499043542386383,BNCI2014-001,4,1test
71,1,2,"(16, 4, 16)",0.00025724344765903353,0.2981169388364946,0.0021544849046514027,0.5143984930169162,0.5143984930169163,BNCI2014-001,4,1test
72,2,3,"(1, 1, 1)",0.00025789645918163003,0.29944618236449055,0.0024273736287812996,0.5133766055634681,0.5133766055634682,BNCI2014-001,4,1test
73,3,4,"(2, 2, 2)",0.0002583504842035411,0.30241615197056865,0.0034424635885077284,0.5044675000917578,0.5044675000917579,BNCI2014-001,4,1test
74,4,5,"(8, 4, 8)",0.00025862200997587263,0.36628657166910317,0.0032201744074514317,0.4838053263558037,0.48380532635580376,BNCI2014-001,4,1test
75,5,6,"(1, 1, 1)",0.000259006995089426,0.36742099391690214,0.007439218513707043,0.4828058873081996,0.4828058873081997,BNCI2014-001,4,1test
76,6,7,"(4, 4, 4)",0.00025928358964639125,0.38362088899505536,0.010732452573501923,0.4730571369675983,0.4730571369675984,BNCI2014-001,4,1test
77,7,8,"(1, 1, 1)",0.0002598067834175676,0.385538180492149,0.012281015912583732,0.47207322846915645,0.4720732284691565,BNCI2014-001,4,1test
78,8,9,"(1, 1, 1)",0.0002605064665098042,0.3873764992820246,0.011264494052514255,0.4713244039283421,0.47132440392834213,BNCI2014-001,4,1test
79,9,10,"(2, 2, 2)",0.0002607366225779724,0.38951298317621186,0.009812708086406519,0.46962080868395634,0.4696208086839564,BNCI2014-001,4,1test
80,0,1,"(8, 4, 8)",0.00035773539953039973,0.054834781949926394,0.3406766076486373,0.7373684122162564,0.737368412216256,BNCI2014-001,5,0train
81,1,2,"(1, 1, 1)",0.0003791946527197433,0.07059495114258334,0.2813930335460515,0.7352197856802183,0.735219785680218,BNCI2014-001,5,0train
82,2,3,"(1, 1, 1)",0.00038650555840593996,0.07668192845655035,0.23098333977027538,0.7334698649787584,0.7334698649787581,BNCI2014-001,5,0train
83,3,4,"(1, 1, 1)",0.0003999350063627528,0.07965011762644564,0.24149582375535625,0.7322926868630805,0.7322926868630801,BNCI2014-001,5,0train
84,4,5,"(4, 4, 4)",0.00041748517243528187,0.10568212403573876,0.14782724804959604,0.7222429395571068,0.7222429395571065,BNCI2014-001,5,0train
