,block,rank,fold,train_score,val_score,n_features,test_score,dataset,subject,session
342,8,"(2, 2)",2,0.9233348612882653,0.8529336734693878,1095,0.8551836734693877,BNCI2014-008,7,0
343,8,"(2, 2)",3,0.9231176259566327,0.8795599489795919,1095,0.8729795918367348,BNCI2014-008,7,0
344,8,"(2, 2)",4,0.9164281728316328,0.8875318877551021,1095,0.868295918367347,BNCI2014-008,7,0
345,9,"(2, 2)",0,0.9236995774872448,0.8728954081632653,1099,0.8617857142857143,BNCI2014-008,7,0
346,9,"(2, 2)",1,0.9239198022959183,0.8669642857142857,1099,0.8758061224489796,BNCI2014-008,7,0
347,9,"(2, 2)",2,0.9234016262755103,0.8534438775510204,1099,0.8552857142857143,BNCI2014-008,7,0
348,9,"(2, 2)",3,0.923304966517857,0.8802933673469389,1099,0.8736836734693878,BNCI2014-008,7,0
349,9,"(2, 2)",4,0.9164690290178571,0.887484056122449,1099,0.8685612244897959,BNCI2014-008,7,0
350,0,"(8, 48)",0,0.968260722257653,0.9248565051020409,384,0.9345510204081633,BNCI2014-008,8,0
351,0,"(8, 48)",1,0.9713578204719389,0.9288424744897958,384,0.939061224489796,BNCI2014-008,8,0
352,0,"(8, 48)",2,0.9607441804846939,0.9487882653061225,384,0.927204081632653,BNCI2014-008,8,0
353,0,"(8, 48)",3,0.9602917729591837,0.962484056122449,384,0.9384285714285714,BNCI2014-008,8,0
354,0,"(8, 48)",4,0.9598762356505102,0.9473533163265306,384,0.9375918367346939,BNCI2014-008,8,0
355,1,"(1, 1)",0,0.9707718829719387,0.9397480867346939,385,0.9400612244897959,BNCI2014-008,8,0
356,1,"(1, 1)",1,0.9751454878826531,0.9324617346938776,385,0.9439591836734694,BNCI2014-008,8,0
357,1,"(1, 1)",2,0.9658492107780612,0.9600446428571429,385,0.9330510204081632,BNCI2014-008,8,0
358,1,"(1, 1)",3,0.965380859375,0.9674426020408162,385,0.9421734693877551,BNCI2014-008,8,0
359,1,"(1, 1)",4,0.9660604671556122,0.959343112244898,385,0.9452857142857143,BNCI2014-008,8,0
360,2,"(4, 4)",0,0.9711884167729593,0.9380102040816326,401,0.9393979591836735,BNCI2014-008,8,0
361,2,"(4, 4)",1,0.9757463727678571,0.9309151785714286,401,0.9425102040816327,BNCI2014-008,8,0
362,2,"(4, 4)",2,0.9666583625637755,0.9592952806122449,401,0.9321938775510203,BNCI2014-008,8,0
363,2,"(4, 4)",3,0.9653878348214286,0.96796875,401,0.9418469387755102,BNCI2014-008,8,0
364,2,"(4, 4)",4,0.9665646922831633,0.9576530612244899,401,0.9455714285714286,BNCI2014-008,8,0
365,3,"(2, 2)",0,0.971826171875,0.9365274234693879,405,0.9392448979591836,BNCI2014-008,8,0
366,3,"(2, 2)",1,0.9759576291454082,0.9335299744897959,405,0.9429285714285713,BNCI2014-008,8,0
367,3,"(2, 2)",2,0.9670330436862244,0.9561702806122448,405,0.9313979591836735,BNCI2014-008,8,0
368,3,"(2, 2)",3,0.9656150350765306,0.9676817602040817,405,0.941173469387755,BNCI2014-008,8,0
369,3,"(2, 2)",4,0.966781927614796,0.9580197704081633,405,0.9457448979591836,BNCI2014-008,8,0
370,4,"(1, 1)",0,0.9722427056760203,0.9369419642857144,406,0.9394591836734695,BNCI2014-008,8,0
371,4,"(1, 1)",1,0.9759157764668368,0.9343112244897959,406,0.9428469387755102,BNCI2014-008,8,0
372,4,"(1, 1)",2,0.9670011559311225,0.9547831632653061,406,0.9310102040816326,BNCI2014-008,8,0
373,4,"(1, 1)",3,0.9655412946428572,0.9678730867346939,406,0.9406734693877551,BNCI2014-008,8,0
374,4,"(1, 1)",4,0.9666593590561223,0.9574936224489796,406,0.9454897959183673,BNCI2014-008,8,0
375,5,"(4, 4)",0,0.9733856823979592,0.9369738520408163,422,0.9408775510204082,BNCI2014-008,8,0
376,5,"(4, 4)",1,0.9769401705994899,0.9336575255102041,422,0.9424897959183673,BNCI2014-008,8,0
377,5,"(4, 4)",2,0.9680913185586735,0.954719387755102,422,0.934,BNCI2014-008,8,0
378,5,"(4, 4)",3,0.966763990752551,0.9656409438775511,422,0.9432551020408164,BNCI2014-008,8,0
379,5,"(4, 4)",4,0.9677584901147959,0.9581473214285714,422,0.9468673469387756,BNCI2014-008,8,0
380,6,"(4, 4)",0,0.9738809390943878,0.9368144132653061,438,0.9415918367346938,BNCI2014-008,8,0
381,6,"(4, 4)",1,0.9776636240433674,0.932828443877551,438,0.9420510204081634,BNCI2014-008,8,0
382,6,"(4, 4)",2,0.9686931999362245,0.9555644132653062,438,0.9353673469387757,BNCI2014-008,8,0
383,6,"(4, 4)",3,0.9675990513392858,0.9648915816326531,438,0.9438877551020409,BNCI2014-008,8,0
384,6,"(4, 4)",4,0.9684440768494899,0.9580357142857143,438,0.9469183673469388,BNCI2014-008,8,0
385,7,"(2, 2)",0,0.9739297672193878,0.936639030612245,442,0.9416122448979591,BNCI2014-008,8,0
386,7,"(2, 2)",1,0.9777861926020407,0.9311224489795918,442,0.9422142857142857,BNCI2014-008,8,0
387,7,"(2, 2)",2,0.9686613121811224,0.9557876275510204,442,0.935561224489796,BNCI2014-008,8,0
388,7,"(2, 2)",3,0.9675631776147959,0.9649553571428572,442,0.9441122448979592,BNCI2014-008,8,0
389,7,"(2, 2)",4,0.9685128348214286,0.9578922193877552,442,0.9467755102040816,BNCI2014-008,8,0
390,8,"(2, 2)",0,0.9740274234693878,0.9365752551020409,446,0.9415816326530614,BNCI2014-008,8,0
391,8,"(2, 2)",1,0.9778649154974489,0.9307557397959184,446,0.9423775510204081,BNCI2014-008,8,0
392,8,"(2, 2)",2,0.9687529894770407,0.9557397959183673,446,0.9354591836734695,BNCI2014-008,8,0
393,8,"(2, 2)",3,0.9677196269132653,0.9645567602040817,446,0.9441224489795919,BNCI2014-008,8,0
394,8,"(2, 2)",4,0.9686413823341836,0.957796556122449,446,0.9467755102040817,BNCI2014-008,8,0
395,9,"(8, 8)",0,0.9746841119260204,0.9363679846938776,510,0.9408877551020409,BNCI2014-008,8,0
396,9,"(8, 8)",1,0.9786192602040816,0.9301020408163266,510,0.9398877551020408,BNCI2014-008,8,0
397,9,"(8, 8)",2,0.969512316645408,0.9552455357142857,510,0.9346632653061223,BNCI2014-008,8,0
398,9,"(8, 8)",3,0.9683284837372448,0.9649234693877551,510,0.9433469387755103,BNCI2014-008,8,0
399,9,"(8, 8)",4,0.9697235730229591,0.9572704081632654,510,0.9458367346938775,BNCI2014-008,8,0
400,0,"(2, 2)",0,0.812335689484127,0.7936011904761905,4,0.7830793650793652,BNCI2015-003,1,0
401,0,"(2, 2)",1,0.8148778521825397,0.7486607142857142,4,0.7954603174603174,BNCI2015-003,1,0
402,0,"(2, 2)",2,0.8244543650793651,0.6989583333333333,4,0.8,BNCI2015-003,1,0
403,0,"(2, 2)",3,0.8005363343253968,0.7985615079365079,4,0.786,BNCI2015-003,1,0
404,0,"(2, 2)",4,0.8216765873015873,0.6706349206349207,4,0.7960634920634921,BNCI2015-003,1,0
405,1,"(1, 1)",0,0.8739304315476191,0.8106150793650794,5,0.8123809523809524,BNCI2015-003,1,0
406,1,"(1, 1)",1,0.8754681299603174,0.7656746031746031,5,0.7704444444444445,BNCI2015-003,1,0
407,1,"(1, 1)",2,0.8772786458333333,0.7013392857142858,5,0.7921587301587302,BNCI2015-003,1,0
408,1,"(1, 1)",3,0.8562655009920634,0.8259920634920636,5,0.7995555555555556,BNCI2015-003,1,0
409,1,"(1, 1)",4,0.8832248263888889,0.7246031746031746,5,0.769904761904762,BNCI2015-003,1,0
410,2,"(8, 8)",0,0.8961929563492064,0.7956845238095238,69,0.7967936507936508,BNCI2015-003,1,0
411,2,"(8, 8)",1,0.8990017361111111,0.775595238095238,69,0.7602539682539682,BNCI2015-003,1,0
412,2,"(8, 8)",2,0.8989056299603174,0.6909722222222222,69,0.8167301587301588,BNCI2015-003,1,0
413,2,"(8, 8)",3,0.8854352678571428,0.8206349206349206,69,0.8204444444444444,BNCI2015-003,1,0
414,2,"(8, 8)",4,0.8988002232142858,0.7461309523809524,69,0.7761587301587303,BNCI2015-003,1,0
415,3,"(1, 1)",0,0.9043743799603176,0.7890873015873017,70,0.7771111111111111,BNCI2015-003,1,0
416,3,"(1, 1)",1,0.900297619047619,0.7788194444444445,70,0.7620317460317461,BNCI2015-003,1,0
417,3,"(1, 1)",2,0.9109747023809524,0.702827380952381,70,0.7934285714285714,BNCI2015-003,1,0
418,3,"(1, 1)",3,0.9018694196428573,0.7612103174603174,70,0.7713968253968254,BNCI2015-003,1,0
