,index,block,rank,F_tr,F_rt,log_loss,mse,nmse,dataset,subject,session
97,7,8,"(8, 39)",3.897686512633322e-07,0.0008198736427795887,0.04752226885031246,8.190851037233549e-10,8.190851037233551e-10,BNCI2015-003,2,0
98,8,9,"(8, 39)",3.897686510699842e-07,0.0008282891276415591,0.04751174399100967,2.2292816819350935e-15,2.229281681935094e-15,BNCI2015-003,2,0
99,9,10,"(1, 1)",3.8976865106998346e-07,0.0008283084249614215,0.04751073266204493,2.20248953921164e-15,2.2024895392116405e-15,BNCI2015-003,2,0
100,0,1,"(8, 39)",5.457106286131587e-06,0.0009482541830800311,0.26134847623737595,3.1940525462893204e-05,3.194052546289324e-05,BNCI2015-003,3,0
101,1,2,"(2, 2)",5.457109301856434e-06,0.0009499137667413414,0.2648428568078424,3.152253795266284e-05,3.152253795266287e-05,BNCI2015-003,3,0
102,2,3,"(1, 1)",5.457109430498582e-06,0.0009503242587480987,0.2674257240414721,3.13017813708657e-05,3.130178137086573e-05,BNCI2015-003,3,0
103,3,4,"(8, 8)",5.457108562551727e-06,0.0009734328643646698,0.2564484537514573,2.9238349002434794e-05,2.9238349002434825e-05,BNCI2015-003,3,0
104,4,5,"(4, 4)",5.457108734492241e-06,0.0009783947300594353,0.2549324856643019,2.9134510761544945e-05,2.9134510761544976e-05,BNCI2015-003,3,0
105,5,6,"(8, 8)",5.457108636294951e-06,0.000995798903922185,0.25089157331798323,2.797485954752868e-05,2.7974859547528707e-05,BNCI2015-003,3,0
106,6,7,"(2, 2)",5.457108647705251e-06,0.0009967754640212558,0.25046737954242826,2.7934334604765408e-05,2.7934334604765435e-05,BNCI2015-003,3,0
107,7,8,"(4, 4)",5.457108713905436e-06,0.0010005688019732598,0.24959446270615962,2.784532985071936e-05,2.7845329850719386e-05,BNCI2015-003,3,0
108,8,9,"(8, 16)",5.457101123732342e-06,0.0010256896929823173,0.2477293628346797,2.4102326690165287e-05,2.410232669016531e-05,BNCI2015-003,3,0
109,9,10,"(4, 4)",5.457101147202986e-06,0.0010283105030866508,0.24723394416529393,2.34220507360507e-05,2.3422050736050723e-05,BNCI2015-003,3,0
110,0,1,"(8, 32)",6.966566643246808e-06,0.0013600144214872326,0.21765221117784964,0.38428677751754625,0.3842867775175459,BNCI2015-003,4,0
111,1,2,"(1, 1)",6.966701225479211e-06,0.0013609211659873573,0.2134526699609345,0.38054939786628544,0.3805493978662851,BNCI2015-003,4,0
112,2,3,"(8, 8)",6.952985060140554e-06,0.001400646142854988,0.20146471236162433,0.30251776392172064,0.30251776392172036,BNCI2015-003,4,0
113,3,4,"(8, 8)",6.946506671525371e-06,0.0014231168107440076,0.19578259737950568,0.232707156693766,0.2327071566937658,BNCI2015-003,4,0
114,4,5,"(8, 39)",5.240377109579087e-06,0.0015756614667627642,0.18886727551046772,2.2380610041705694e-05,2.2380610041705674e-05,BNCI2015-003,4,0
115,5,6,"(8, 8)",5.2403876610833776e-06,0.0015862255966382687,0.18847362338169962,2.1117931667497075e-05,2.1117931667497055e-05,BNCI2015-003,4,0
116,6,7,"(1, 1)",5.240389563557393e-06,0.0015863798434729902,0.18860240166777667,2.1072811047125402e-05,2.1072811047125382e-05,BNCI2015-003,4,0
117,7,8,"(4, 4)",5.24039083252882e-06,0.0015888052611193778,0.18858893062762996,2.0876937350532047e-05,2.087693735053203e-05,BNCI2015-003,4,0
118,8,9,"(1, 1)",5.240391427852124e-06,0.0015889543925187446,0.1885800430439351,2.083885083927238e-05,2.083885083927236e-05,BNCI2015-003,4,0
119,9,10,"(4, 4)",5.240393351240712e-06,0.001591301241050595,0.18849822749459327,2.0610111036182226e-05,2.061011103618221e-05,BNCI2015-003,4,0
120,0,1,"(8, 39)",4.763836458013707e-06,0.0011165073062300041,0.20993077368342192,0.006969444450154149,0.006969444450154154,BNCI2015-003,5,0
121,1,2,"(8, 16)",4.77486126820429e-06,0.0012229139498384518,0.2065157416438783,0.006108949057376711,0.006108949057376715,BNCI2015-003,5,0
122,2,3,"(8, 8)",4.777010510010816e-06,0.0012631368924953478,0.2042348315192224,0.00588758468517184,0.005887584685171844,BNCI2015-003,5,0
123,3,4,"(1, 1)",4.777051974910546e-06,0.0012637521154754707,0.20350407196342563,0.0058754976150652075,0.005875497615065212,BNCI2015-003,5,0
124,4,5,"(1, 1)",4.777064059208344e-06,0.0012643396033003977,0.2036564675662756,0.005865312707767153,0.0058653127077671575,BNCI2015-003,5,0
125,5,6,"(8, 32)",4.763558787033116e-06,0.0013801379943728675,0.20207433972026276,0.0022448417581947995,0.0022448417581948012,BNCI2015-003,5,0
126,6,7,"(2, 2)",4.763565214275312e-06,0.001381546376052948,0.20210117022396884,0.002163350726558421,0.002163350726558423,BNCI2015-003,5,0
127,7,8,"(1, 1)",4.7635714615268165e-06,0.0013819023620774908,0.20204733851830894,0.002143869326120728,0.00214386932612073,BNCI2015-003,5,0
128,8,9,"(1, 1)",4.763574663200538e-06,0.001382253491669693,0.20250907043271013,0.002120999694121365,0.002120999694121367,BNCI2015-003,5,0
129,9,10,"(8, 32)",4.7634204318822146e-06,0.0014566576362132957,0.2017889790786066,0.0016307335176288405,0.0016307335176288418,BNCI2015-003,5,0
130,0,1,"(2, 2)",0.00010077329591913461,0.00023445055359553647,0.3954606286515306,0.9969385428356907,0.9969385428356903,BNCI2015-003,6,0
131,1,2,"(2, 2)",7.638389951563033e-05,0.0003360385177050221,0.37329466658121335,0.9825376478187238,0.9825376478187233,BNCI2015-003,6,0
132,2,3,"(8, 32)",9.592782822548996e-07,0.0006074344336787859,0.3072120372718088,0.48099284529554426,0.48099284529554404,BNCI2015-003,6,0
133,3,4,"(8, 8)",1.0460117284118996e-06,0.000650707350661857,0.29588180510527556,0.4340117065592727,0.4340117065592725,BNCI2015-003,6,0
134,4,5,"(8, 16)",1.0504489491756996e-06,0.0006777178476320104,0.2917784587300226,0.38087515103621417,0.380875151036214,BNCI2015-003,6,0
135,5,6,"(2, 2)",1.0504899368536695e-06,0.0006785192419479573,0.29092378949011494,0.37816013745047194,0.3781601374504718,BNCI2015-003,6,0
