,stc,snr,jitter,method,accuracy,fold
338,sine,-5,0.2,WCBLE-median,1.0,8
339,sine,-5,0.2,WCBLE-median,0.95,9
340,sine,-5,0.3,CBLE-median,0.7,0
341,sine,-5,0.3,CBLE-median,0.55,1
342,sine,-5,0.3,CBLE-median,0.85,2
343,sine,-5,0.3,CBLE-median,0.65,3
344,sine,-5,0.3,CBLE-median,0.8,4
345,sine,-5,0.3,CBLE-median,0.85,5
346,sine,-5,0.3,CBLE-median,0.65,6
347,sine,-5,0.3,CBLE-median,0.7,7
348,sine,-5,0.3,CBLE-median,0.8,8
349,sine,-5,0.3,CBLE-median,0.65,9
350,sine,-5,0.3,WCBLE-median,0.6,0
351,sine,-5,0.3,WCBLE-median,0.85,1
352,sine,-5,0.3,WCBLE-median,0.95,2
353,sine,-5,0.3,WCBLE-median,0.9,3
354,sine,-5,0.3,WCBLE-median,0.9,4
355,sine,-5,0.3,WCBLE-median,0.75,5
356,sine,-5,0.3,WCBLE-median,0.85,6
357,sine,-5,0.3,WCBLE-median,0.85,7
358,sine,-5,0.3,WCBLE-median,0.7,8
359,sine,-5,0.3,WCBLE-median,0.8,9
360,sine,-6,0.1,CBLE-median,0.9,0
361,sine,-6,0.1,CBLE-median,0.95,1
362,sine,-6,0.1,CBLE-median,0.95,2
363,sine,-6,0.1,CBLE-median,0.95,3
364,sine,-6,0.1,CBLE-median,0.95,4
365,sine,-6,0.1,CBLE-median,0.95,5
366,sine,-6,0.1,CBLE-median,0.95,6
367,sine,-6,0.1,CBLE-median,1.0,7
368,sine,-6,0.1,CBLE-median,0.95,8
369,sine,-6,0.1,CBLE-median,1.0,9
370,sine,-6,0.1,WCBLE-median,1.0,0
371,sine,-6,0.1,WCBLE-median,1.0,1
372,sine,-6,0.1,WCBLE-median,1.0,2
373,sine,-6,0.1,WCBLE-median,1.0,3
374,sine,-6,0.1,WCBLE-median,1.0,4
375,sine,-6,0.1,WCBLE-median,1.0,5
376,sine,-6,0.1,WCBLE-median,1.0,6
377,sine,-6,0.1,WCBLE-median,1.0,7
378,sine,-6,0.1,WCBLE-median,1.0,8
379,sine,-6,0.1,WCBLE-median,0.95,9
380,sine,-6,0.2,CBLE-median,0.85,0
381,sine,-6,0.2,CBLE-median,0.75,1
382,sine,-6,0.2,CBLE-median,0.9,2
383,sine,-6,0.2,CBLE-median,0.95,3
384,sine,-6,0.2,CBLE-median,0.85,4
385,sine,-6,0.2,CBLE-median,0.85,5
386,sine,-6,0.2,CBLE-median,0.85,6
387,sine,-6,0.2,CBLE-median,0.95,7
388,sine,-6,0.2,CBLE-median,0.9,8
