,stc,snr,jitter,method,accuracy,fold
521,sine,-17,0.2,tlda,0.2,1
522,sine,-17,0.2,tlda,0.05,2
523,sine,-17,0.2,tlda,0.1,3
524,sine,-17,0.2,tlda,0.2,4
525,sine,-17,0.2,tlda,0.05,5
526,sine,-17,0.2,tlda,0.1,6
527,sine,-17,0.2,tlda,0.15,7
528,sine,-17,0.2,tlda,0.15,8
529,sine,-17,0.2,tlda,0.1,9
530,sine,-17,0.3,tlda,0.05,0
531,sine,-17,0.3,tlda,0.15,1
532,sine,-17,0.3,tlda,0.05,2
533,sine,-17,0.3,tlda,0.05,3
534,sine,-17,0.3,tlda,0.2,4
535,sine,-17,0.3,tlda,0.05,5
536,sine,-17,0.3,tlda,0.1,6
537,sine,-17,0.3,tlda,0.15,7
538,sine,-17,0.3,tlda,0.15,8
539,sine,-17,0.3,tlda,0.05,9
540,sine,-18,0.1,tlda,0.3,0
541,sine,-18,0.1,tlda,0.4,1
542,sine,-18,0.1,tlda,0.25,2
543,sine,-18,0.1,tlda,0.25,3
544,sine,-18,0.1,tlda,0.3,4
545,sine,-18,0.1,tlda,0.4,5
546,sine,-18,0.1,tlda,0.3,6
547,sine,-18,0.1,tlda,0.4,7
548,sine,-18,0.1,tlda,0.3,8
549,sine,-18,0.1,tlda,0.3,9
550,sine,-18,0.2,tlda,0.05,0
551,sine,-18,0.2,tlda,0.2,1
552,sine,-18,0.2,tlda,0.05,2
553,sine,-18,0.2,tlda,0.1,3
554,sine,-18,0.2,tlda,0.2,4
555,sine,-18,0.2,tlda,0.05,5
556,sine,-18,0.2,tlda,0.1,6
557,sine,-18,0.2,tlda,0.15,7
558,sine,-18,0.2,tlda,0.15,8
559,sine,-18,0.2,tlda,0.1,9
560,sine,-18,0.3,tlda,0.05,0
561,sine,-18,0.3,tlda,0.15,1
562,sine,-18,0.3,tlda,0.05,2
563,sine,-18,0.3,tlda,0.05,3
564,sine,-18,0.3,tlda,0.2,4
565,sine,-18,0.3,tlda,0.05,5
